trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
8612070,61A,2,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,192472907,shp-61A-52,1,1
7524020,61D,1,OUTBOUND-WATERFRONT VIA SQUIRREL HILL,,0,192422802,shp-61D-51,1,1
4202070,15,2,INBOUND-DOWNTOWN,,1,193313407,shp-15-01,1,1
6678070,53,2,INBOUND-WATERFRONT,,1,192469607,shp-53-07,1,1
7274080,P1,3,INBOUND-DOWNTOWN,,1,192923508,shp-P1-09,1,1
2015010,38,4,INBOUND-DOWNTOWN,,1,192744301,shp-38-01,1,1
2891020,P71,1,INBOUND-DOWNTOWN,,1,192631702,shp-P71-22,1,1
6829010,58,4,OUTBOUND-OAKLAND,,0,192688601,shp-58-51,1,1
6502020,61A,1,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,192445602,shp-61A-52,1,1
4948020,43,1,OUTBOUND-BAILEY-ALLENTOWN,,0,192724702,shp-43-54,1,1
2425020,71B,1,INBOUND-DOWNTOWN,,1,192642202,shp-71B-02,1,1
12192080,88,3,INBOUND-DOWNTOWN,,1,192921008,shp-88-09,1,1
1886080,G2,3,INBOUND-DOWNTOWN,,1,192888608,shp-G2-04,1,1
8820010,55,4,INBOUND-NORTH VERSAILLES,,1,192493101,shp-55-01,1,1
9178020,1,1,OUTBOUND-TARENTUM,,0,193154102,shp-1-63,1,1
9428020,8,1,INBOUND-DOWNTOWN,,1,193128702,shp-8-08,1,1
2442010,93,4,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,192488201,shp-93-56,1,1
10490020,15,1,INBOUND-DOWNTOWN,,1,193163302,shp-15-01,1,1
9930080,6,3,INBOUND-DOWNTOWN,,1,193287608,shp-6-06,1,1
2556070,21,2,OUTBOUND-UNIVERSITY BLVD PARK-AND-RIDE,,0,192731807,shp-21-58,1,1
2193080,61B,3,INBOUND-DOWNTOWN,,1,192792008,shp-61B-02,1,1
9416020,61D,1,INBOUND-OAKLAND,,1,192450602,shp-61D-01,1,1
207020,67,1,OUTBOUND-CCAC BOYCE,,0,192630202,shp-67-52,1,1
2406020,71C,1,INBOUND-OAKLAND,,1,192618302,shp-71C-08,1,1
10299080,61A,3,INBOUND-DOWNTOWN,,1,192788108,shp-61A-01,1,1
3058010,79,4,INBOUND-LINCOLN LOOP,,1,192692001,shp-79-18,1,1
8240070,27,2,INBOUND-DOWNTOWN,,1,192736307,shp-27-01,1,1
1379020,G2,1,OUTBOUND-CARNEGIE,,0,192710202,shp-G2-53,1,1
10695070,54,2,INBOUND-ALLEGHENY CENTER VIA POLISH HILL,,1,193300507,shp-54-02,1,1
6798020,27,1,OUTBOUND-CRAFTON-INGRAM SHOPPING CENTER,,0,192715702,shp-27-51,1,1
10515020,88,1,OUTBOUND-BAKERY SQUARE,,0,192656002,shp-88-10,1,1
4389020,87,1,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,192652202,shp-87-51,1,1
13558070,27,2,INBOUND-DOWNTOWN,,1,192728207,shp-27-01,1,1
873020,54,1,INBOUND-ALLEGHENY CENTER VIA POLISH HILL,,1,193165102,shp-54-02,1,1
2144020,61C,1,OUTBOUND-HOMESTEAD VIA OAKLAND,,0,192421502,shp-61C-51,1,1
12077010,56,4,OUTBOUND-PENN STATE MCKEESPORT,,0,192495901,shp-56-01,1,1
6107020,51,1,INBOUND-DOWNTOWN,,1,192434002,shp-51-01,1,1
13679020,G2,1,OUTBOUND-CARNEGIE,,0,192725902,shp-G2-53,1,1
874080,82,3,INBOUND-DOWNTOWN,,1,192920208,shp-82-11,1,1
432010,91,4,OUTBOUND-VA HOSPITAL-ASPINWALL,,0,193267901,shp-91-68,1,1
2996020,P17,1,INBOUND-DOWNTOWN,,1,192616902,shp-P17-06,1,1
10245080,P1,3,OUTBOUND-SWISSVALE,,0,192923608,shp-P1-08,1,1
9539010,24,4,INBOUND-DOWNTOWN,,1,192747301,shp-24-01,1,1
2884070,29,2,OUTBOUND-PITTSBURGH TECHNICAL COLLEGE,,0,192732807,shp-29-01,1,1
781020,12,1,OUTBOUND-DOWNTOWN,,0,193134502,shp-12-52,1,1
9273010,6,4,OUTBOUND-NORTHVIEW HEIGHTS,,0,193274201,shp-6-09,1,1
12279080,61A,3,INBOUND-DOWNTOWN,,1,192791308,shp-61A-01,1,1
7610010,74,4,OUTBOUND-HOMEWOOD,,0,192689101,shp-74-51,1,1
10019010,88,4,OUTBOUND-BAKERY SQUARE,,0,192685301,shp-88-10,1,1
5722080,61C,3,INBOUND-PITTSBURGH VIA OAKLAND,,1,192790008,shp-61C-01,1,1
5278020,O12,1,INBOUND-DOWNTOWN,,1,193131802,shp-O12-10,1,1
10032020,71C,1,OUTBOUND-WILKINSBURG STATION,,0,192640002,shp-71C-93,1,1
6789080,P1,3,OUTBOUND-SWISSVALE,,0,192923508,shp-P1-08,1,1
9313070,22,2,INBOUND-DOWNTOWN,,1,192733307,shp-22-06,1,1
11591020,61B,1,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,192445702,shp-61B-51,1,1
987070,61C,2,OUTBOUND-HOMESTEAD VIA OAKLAND,,0,192478607,shp-61C-51,1,1
9289010,82,4,INBOUND-DOWNTOWN,,1,192687101,shp-82-11,1,1
13990020,38,1,OUTBOUND-MT LEBANON,,0,192709102,shp-38-51,1,1
6935020,21,1,INBOUND-DOWNTOWN,,1,192706502,shp-21-13,1,1
13395070,87,2,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,192663107,shp-87-51,1,1
3700010,89,4,INBOUND-EAST LIBERTY,,1,192698601,shp-89-06,1,1
11250070,P1,2,OUTBOUND-SWISSVALE,,0,192656307,shp-P1-08,1,1
8701070,P1,2,OUTBOUND-SWISSVALE,,0,192656407,shp-P1-08,1,1
9111020,61B,1,INBOUND-DOWNTOWN,,1,192444102,shp-61B-01,1,1
9761020,Y49,1,INBOUND-DOWNTOWN,,1,192455502,shp-Y49-08,1,1
3053020,15,1,OUTBOUND-NORTH VIEW HEIGHTS - SUMMER HILL,,0,193155802,shp-15-51,1,1
8006070,15,2,OUTBOUND-NORTH VIEW HEIGHTS - SUMMER HILL,,0,193303107,shp-15-51,1,1
3498020,61D,1,OUTBOUND-WATERFRONT VIA SQUIRREL HILL,,0,192435102,shp-61D-51,1,1
8951010,83,4,INBOUND-DOWNTOWN,,1,192502801,shp-83-01,1,1
7015020,40,1,INBOUND-DOWNTOWN,,1,193168302,shp-40-07,1,1
8036010,1,4,INBOUND-DOWNTOWN,,1,193266801,shp-1-10,1,1
13252010,82,4,INBOUND-DOWNTOWN,,1,192696201,shp-82-11,1,1
13173070,88,2,OUTBOUND-BAKERY SQUARE,,0,192668907,shp-88-10,1,1
10559020,61C,1,OUTBOUND-HOMESTEAD VIA OAKLAND,,0,192443802,shp-61C-51,1,1
4642080,57,3,OUTBOUND-WATERFRONT,,0,192777308,shp-57-51,1,1
629020,71D,1,INBOUND-OAKLAND,,1,192648702,shp-71D-07,1,1
